"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - msec","Duration - PAL","UserAwkwardness","RobotMistake","BodyGesture","UtteranceContent","Smile","FacialExpression","Pauses","Laughter","Nod(Yes)","HeadShake(No)","RobotInterruption","RobotNonResponding","RobotInappropriateResponse","Other","Gaze","HandGesture","HeadMovement","Severeness"
00:00:00.000,0.0,0,00:00:00:00,00:00:02.770,2.77,2770,00:00:02:19,00:00:02.770,2.77,2770,00:00:02:19,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:00:02.770,2.77,2770,00:00:02:19,00:00:05.410,5.41,5410,00:00:05:10,00:00:02.640,2.64,2640,00:00:02:16,"0","0",,,"1","Neutral","0","0","0","0","0","0","0","None",,,,
00:00:05.410,5.41,5410,00:00:05:10,00:00:46.500,46.5,46500,00:00:46:12,00:00:41.090,41.09,41090,00:00:41:02,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:00:46.500,46.5,46500,00:00:46:12,00:00:50.410,50.41,50410,00:00:50:10,00:00:03.910,3.91,3910,00:00:03:22,"0","0",,,"1","Happy","0","1","0","0","0","0","0","None",,,,
00:00:50.410,50.41,50410,00:00:50:10,00:00:55.750,55.75,55750,00:00:55:18,00:00:05.340,5.34,5340,00:00:05:08,"1","1",,,"0","Confused","0","0","0","0","0","1","0","None","Participant looks at the robot","Participant holds their hands together",,"Mild"
00:00:55.750,55.75,55750,00:00:55:18,00:02:24.160,144.16,144160,00:02:24:04,00:01:28.410,88.41,88410,00:01:28:10,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:02:24.160,144.16,144160,00:02:24:04,00:02:26.960,146.96,146960,00:02:26:24,00:00:02.800,2.8,2800,00:00:02:20,"1","1",,,"0","Thoughtful","0","0","0","0","0","1","0","None","Participant looks to the side (left)","Participant holds their hands together",,"Mild"
00:02:26.960,146.96,146960,00:02:26:24,00:02:29.510,149.51,149510,00:02:29:12,00:00:02.550,2.55,2550,00:00:02:13,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
00:02:29.510,149.51,149510,00:02:29:12,00:02:35.910,155.91,155910,00:02:35:22,00:00:06.400,6.4,6400,00:00:06:10,"1","0","Participant slighly moves in chair",,"1","Happy","0","1","0","0","0","0","0","None","Participant looks at the robot","Participant touches their face",,"Mild"
00:02:35.910,155.91,155910,00:02:35:22,00:02:39.190,159.19,159190,00:02:39:04,00:00:03.280,3.28,3280,00:00:03:07,"0","0",,,"0","Neutral","0","0","0","0","0","0","0","None",,,,
