Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,BodyGesture,UtteranceContent,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Gaze,HandGesture,HeadMovement,Severeness
00:00.0,0,0,00:00:00:00,00:40.2,40.23,40230,00:00:40:05,00:40.2,40.23,40230,00:00:40:05,0,0,,,0,,0,0,0,0,0,0,0,,,,,
00:40.2,40.23,40230,00:00:40:05,00:45.7,45.65,45650,00:00:45:16,00:05.4,5.42,5420,00:00:05:10,0,0,,,1,Happy,0,1,0,0,0,0,0,,,,,
00:45.7,45.66,45660,00:00:45:16,00:48.0,48.03,48030,00:00:48:00,00:02.4,2.37,2370,00:00:02:09,0,0,,,1,,0,0,0,0,0,0,0,,,,,
00:48.0,48.04,48040,00:00:48:01,00:55.7,55.65,55650,00:00:55:16,00:07.6,7.61,7610,00:00:07:15,1,1,,,1,Confused,0,0,0,0,0,1,0,"The robot used the backchannelling ""Oh I see."", however, the user ended their response right away, and there occured an awkward pause since the robot did not respond further.",Participant looks at the robot,Participant holds their hands together,,Mild
00:55.7,55.65,55650,00:00:55:16,02:48.8,168.8,168800,00:02:48:20,01:53.1,113.15,113150,00:01:53:03,0,0,,,0,,0,0,0,0,0,0,0,,,,,
02:48.8,168.8,168800,00:02:48:20,02:51.7,171.72,171720,00:02:51:18,00:02.9,2.92,2920,00:00:02:23,0,0,,,0,,0,0,0,1,0,0,0,,,,,
02:51.7,171.73,171730,00:02:51:18,02:56.1,176.14,176140,00:02:56:03,00:04.4,4.41,4410,00:00:04:10,0,0,,,1,Happy,0,1,0,0,0,0,0,,,,,
02:56.1,176.14,176140,00:02:56:03,03:06.5,186.5,186500,00:03:06:12,00:10.4,10.36,10360,00:00:10:09,0,0,,,0,,0,0,0,0,0,0,0,,,,,
03:06.5,186.5,186500,00:03:06:12,03:11.3,191.34,191340,00:03:11:08,00:04.8,4.84,4840,00:00:04:21,0,0,,,1,Happy,0,1,0,1,0,0,0,,,,,
03:11.3,191.35,191350,00:03:11:08,03:14.9,194.89,194890,00:03:14:22,00:03.5,3.54,3540,00:00:03:13,1,1,Participant slightly moves in chair,,1,Neutral,0,0,0,0,0,1,0,,Participant looks at the robot,Participant holds their hands together,,Mild
03:14.9,194.89,194890,00:03:14:22,03:17.6,197.57,197570,00:03:17:14,00:02.7,2.68,2680,00:00:02:17,0,0,,,0,,0,0,0,0,0,0,0,,,,,
03:17.6,197.59,197590,00:03:17:14,03:21.9,201.88,201880,00:03:21:22,00:04.3,4.29,4290,00:00:04:07,1,1,Participant slightly moves in chair,"Participant makes a confused face expression and mouth gesture, it looks like they are bored or the task is difficult",0,Confused,0,0,0,0,0,0,1,"Although the participant says that it is very difficult for them to visualize and think about the future, the robot asks them about the steps to get there",Participant looks at the robot,Participant holds their hands together,,Mild
03:21.9,201.89,201890,00:03:21:22,03:26.0,206.03,206030,00:03:26:00,00:04.1,4.14,4140,00:00:04:03,0,0,,,0,,0,0,0,0,0,0,0,,,,,
03:26.0,206.03,206030,00:03:26:00,03:29.3,209.27,209270,00:03:29:06,00:03.2,3.24,3240,00:00:03:06,1,0,Participant slightly moves in chair,Participant is confused about how to answer this question,1,Confused,0,0,0,0,0,0,0,,Participant looks to the side (left),Participant slightly rubs their fingers,,Mild
03:29.3,209.27,209270,00:03:29:06,03:55.0,234.99,234990,00:03:54:24,00:25.7,25.72,25720,00:00:25:18,0,0,,,0,,0,0,0,0,0,0,0,,,,,
03:55.0,234.99,234990,00:03:54:24,04:02.9,242.86,242860,00:04:02:21,00:07.9,7.87,7870,00:00:07:21,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,0,0,0,0,,Participant looks to the side (left),Participant holds their hands together,,Mild
04:02.9,242.86,242860,00:04:02:21,04:04.6,244.57,244570,00:04:04:14,00:01.7,1.71,1710,00:00:01:17,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,1,0,0,0,,Participant looks to the side (left),Participant holds their hands together,,Mild
04:04.6,244.57,244570,00:04:04:14,04:09.3,249.32,249320,00:04:09:08,00:04.8,4.75,4750,00:00:04:18,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,0,0,0,0,,Participant looks to the side (left),Participant holds their hands together,,Mild
04:09.3,249.32,249320,00:04:09:08,04:10.3,250.33,250330,00:04:10:08,00:01.0,1.01,1010,00:00:01:00,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,0,0,0,0,,Participant looks to the side (left),Participant holds their hands together,Participant tilts their head,Mild
04:10.3,250.33,250330,00:04:10:08,04:16.4,256.37,256370,00:04:16:09,00:06.0,6.04,6040,00:00:06:01,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,0,0,0,0,,Participant looks to the side (left),Participant holds their hands together,,Mild
04:16.4,256.37,256370,00:04:16:09,04:16.7,256.68,256680,00:04:16:17,00:00.3,0.31,310,00:00:00:07,1,0,Participant slightly moves in chair,It is difficult for the participant to answer the previous question,1,Thoughtful,0,0,0,1,0,0,0,,Participant looks to the side (left),Participant holds their hands together,,Mild
