"Begin Time - hh:mm:ss.ms","Begin Time - ss.msec","Begin Time - msec","Begin Time - PAL","End Time - hh:mm:ss.ms","End Time - ss.msec","End Time - msec","End Time - PAL","Duration - hh:mm:ss.ms","Duration - ss.msec","Duration - msec","Duration - PAL","UserAwkwardness","RobotMistake","UtteranceContent","Gaze","Smile","FacialExpression","Pauses","Laughter","Nod(Yes)","HeadShake(No)","HeadMovement","HandGesture","BodyGesture","RobotInterruption","RobotNonResponding","RobotInappropriateResponse","Other","Severeness"
00:00:00.000,0.0,0,00:00:00:00,00:00:06.590,6.59,6590,00:00:06:14,00:00:06.590,6.59,6590,00:00:06:14,"0","0",,,,,,,,,,,,"0","0","0",,
00:00:06.590,6.59,6590,00:00:06:14,00:00:08.900,8.9,8900,00:00:08:22,00:00:02.310,2.31,2310,00:00:02:07,"0","1",,,,,,,,,,,,"0","1","0",,
00:00:08.900,8.9,8900,00:00:08:22,00:00:21.740,21.74,21740,00:00:21:18,00:00:12.840,12.84,12840,00:00:12:21,"1","1",,,,,,,,,,,,"0","1","0",,"Mild"
00:00:21.740,21.74,21740,00:00:21:18,00:00:22.390,22.39,22390,00:00:22:09,00:00:00.650,0.65,650,00:00:00:16,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:00:22.390,22.39,22390,00:00:22:09,00:00:34.220,34.22,34220,00:00:34:05,00:00:11.830,11.83,11830,00:00:11:20,"0","0",,,,,,,,,,,,"0","0","0",,
00:00:34.220,34.22,34220,00:00:34:05,00:00:39.540,39.54,39540,00:00:39:13,00:00:05.320,5.32,5320,00:00:05:08,"0","1",,,,,,,,,,,,"0","1","0",,
00:00:39.540,39.54,39540,00:00:39:13,00:02:00.480,120.48,120480,00:02:00:12,00:01:20.940,80.94,80940,00:01:20:23,"0","0",,,,,,,,,,,,"0","0","0",,
00:02:00.480,120.48,120480,00:02:00:12,00:02:00.960,120.96,120960,00:02:00:24,00:00:00.480,0.48,480,00:00:00:12,"0","1",,,,,,,,,,,,"0","0","0","The backchannelling response occured when the participant has finished their answer",
00:02:00.960,120.96,120960,00:02:00:24,00:02:01.220,121.22,121220,00:02:01:05,00:00:00.260,0.26,260,00:00:00:06,"1","1",,,,,,,,,,,,"0","0","0","The backchannelling response occured when the participant has finished their answer","Mild"
00:02:01.220,121.22,121220,00:02:01:05,00:02:04.860,124.86,124860,00:02:04:21,00:00:03.640,3.64,3640,00:00:03:16,"1","1",,,,,,,,,,,,"0","1","0","A period of silence after backchannelling","Mild"
00:02:04.860,124.86,124860,00:02:04:21,00:02:06.550,126.55,126550,00:02:06:13,00:00:01.690,1.69,1690,00:00:01:17,"0","1",,,,,,,,,,,,"0","1","0","A period of silence after backchannelling",
00:02:06.550,126.55,126550,00:02:06:13,00:02:17.460,137.46,137460,00:02:17:11,00:00:10.910,10.91,10910,00:00:10:22,"0","0",,,,,,,,,,,,"0","0","0",,
00:02:17.460,137.46,137460,00:02:17:11,00:02:18.450,138.45,138450,00:02:18:11,00:00:00.990,0.99,990,00:00:00:24,"0","1",,,,,,,,,,,,"1","0","0","The ""Aha"" response was a little bit interruptive",
00:02:18.450,138.45,138450,00:02:18:11,00:02:29.280,149.28,149280,00:02:29:07,00:00:10.830,10.83,10830,00:00:10:20,"0","0",,,,,,,,,,,,"0","0","0",,
00:02:29.280,149.28,149280,00:02:29:07,00:02:35.180,155.18,155180,00:02:35:04,00:00:05.900,5.9,5900,00:00:05:22,"0","1",,,,,,,,,,,,"0","1","0",,
00:02:35.180,155.18,155180,00:02:35:04,00:03:07.460,187.46,187460,00:03:07:11,00:00:32.280,32.28,32280,00:00:32:07,"0","0",,,,,,,,,,,,"0","0","0",,
00:03:07.460,187.46,187460,00:03:07:11,00:03:10.220,190.22,190220,00:03:10:05,00:00:02.760,2.76,2760,00:00:02:19,"0","1",,,,,,,,,,,,"0","1","0",,
00:03:10.220,190.22,190220,00:03:10:05,00:03:10.830,190.83,190830,00:03:10:20,00:00:00.610,0.61,610,00:00:00:15,"0","0",,,,,,,,,,,,"0","0","0",,
00:03:10.830,190.83,190830,00:03:10:20,00:03:17.420,197.42,197420,00:03:17:10,00:00:06.590,6.59,6590,00:00:06:14,"0","1",,,,,,,,,,,,"0","1","0","A period of silence occurs after the backchannelling response, nor the robot or participant speaks",
00:03:17.420,197.42,197420,00:03:17:10,00:04:21.990,261.99,261990,00:04:21:24,00:01:04.570,64.57,64570,00:01:04:14,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:21.990,261.99,261990,00:04:21:24,00:04:28.010,268.01,268010,00:04:28:00,00:00:06.020,6.02,6020,00:00:06:00,"1","0",,,,,,,,,,,,"0","0","0",,"Mild"
00:04:28.010,268.01,268010,00:04:28:00,00:04:52.660,292.66,292660,00:04:52:16,00:00:24.650,24.65,24650,00:00:24:16,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:52.660,292.66,292660,00:04:52:16,00:04:57.100,297.1,297100,00:04:57:02,00:00:04.440,4.44,4440,00:00:04:11,"0","1",,,,,,,,,,,,"0","1","0",,
00:04:57.100,297.1,297100,00:04:57:02,00:04:58.770,298.77,298770,00:04:58:19,00:00:01.670,1.67,1670,00:00:01:16,"0","0",,,,,,,,,,,,"0","0","0",,
00:04:58.770,298.77,298770,00:04:58:19,00:04:59.680,299.68,299680,00:04:59:17,00:00:00.910,0.91,910,00:00:00:22,"0","1",,,,,,,,,,,,"1","0","0",,
00:04:59.680,299.68,299680,00:04:59:17,00:05:02.270,302.27,302270,00:05:02:06,00:00:02.590,2.59,2590,00:00:02:14,"1","1",,,,,,,,,,,,"1","0","0",,"Severe"
00:05:02.270,302.27,302270,00:05:02:06,00:05:14.120,314.12,314120,00:05:14:03,00:00:11.850,11.85,11850,00:00:11:21,"1","0",,,,,,,,,,,,"0","0","0",,"Severe"
00:05:14.120,314.12,314120,00:05:14:03,00:05:42.000,342.0,342000,00:05:42:00,00:00:27.880,27.88,27880,00:00:27:22,"0","0",,,,,,,,,,,,"0","0","0",,
