Begin Time - hh:mm:ss.ms,Begin Time - ss.msec,Begin Time - msec,Begin Time - PAL,End Time - hh:mm:ss.ms,End Time - ss.msec,End Time - msec,End Time - PAL,Duration - hh:mm:ss.ms,Duration - ss.msec,Duration - msec,Duration - PAL,UserAwkwardness,RobotMistake,UtteranceContent,Gaze,Smile,FacialExpression,Pauses,Laughter,Nod(Yes),HeadShake(No),HeadMovement,HandGesture,BodyGesture,RobotInterruption,RobotNonResponding,RobotInappropriateResponse,Other,Severeness
00:00.0,0,0,00:00:00:00,00:13.9,13.89,13890,00:00:13:22,00:13.9,13.89,13890,00:00:13:22,0,0,,,,,,,,,,,,0,0,0,,
00:13.9,13.89,13890,00:00:13:22,00:27.3,27.31,27310,00:00:27:07,00:13.4,13.42,13420,00:00:13:10,0,1,,,,,,,,,,,,0,0,0,"The robot freezes, there is a long pause between the sentences",
00:27.3,27.31,27310,00:00:27:07,00:54.5,54.53,54530,00:00:54:13,00:27.2,27.22,27220,00:00:27:05,0,0,,,,,,,,,,,,0,0,0,,
00:54.5,54.53,54530,00:00:54:13,01:01.2,61.23,61230,00:01:01:05,00:06.7,6.7,6700,00:00:06:17,0,1,,,,,,,,,,,,0,1,0,,
01:01.2,61.23,61230,00:01:01:05,02:43.4,163.44,163440,00:02:43:11,01:42.2,102.21,102210,00:01:42:05,0,0,,,,,,,,,,,,0,0,0,,
02:43.4,163.44,163440,00:02:43:11,02:51.3,171.28,171280,00:02:51:07,00:07.8,7.84,7840,00:00:07:21,0,1,,,,,,,,,,,,0,1,0,,
02:51.3,171.28,171280,00:02:51:07,03:02.9,182.91,182910,00:03:02:22,00:11.6,11.63,11630,00:00:11:15,0,0,,,,,,,,,,,,0,0,0,,
03:02.9,182.91,182910,00:03:02:22,03:03.2,183.23,183230,00:03:03:05,00:00.3,0.32,320,00:00:00:08,0,1,,,,,,,,,,,,1,0,0,,
03:03.2,183.23,183230,00:03:03:05,03:04.9,184.88,184880,00:03:04:22,00:01.7,1.65,1650,00:00:01:16,1,1,,,,,,,,,,,,1,0,0,,Mild
03:04.9,184.88,184880,00:03:04:22,03:08.0,188,188000,00:03:08:00,00:03.1,3.12,3120,00:00:03:03,1,0,,,,,,,,,,,,0,0,0,,Mild
03:08.0,188,188000,00:03:08:00,03:16.9,196.91,196910,00:03:16:22,00:08.9,8.91,8910,00:00:08:22,0,0,,,,,,,,,,,,0,0,0,,
03:16.9,196.91,196910,00:03:16:22,03:17.3,197.35,197350,00:03:17:08,00:00.4,0.44,440,00:00:00:11,0,1,,,,,,,,,,,,1,0,0,,
03:17.3,197.35,197350,00:03:17:08,03:17.6,197.57,197570,00:03:17:14,00:00.2,0.22,220,00:00:00:05,1,1,,,,,,,,,,,,1,0,0,,Mild
03:17.6,197.57,197570,00:03:17:14,03:22.3,202.27,202270,00:03:22:06,00:04.7,4.7,4700,00:00:04:17,1,0,,,,,,,,,,,,0,0,0,,Mild
03:22.3,202.28,202280,00:03:22:07,03:40.0,220,220000,00:03:40:00,00:17.7,17.72,17720,00:00:17:18,0,1,,,,,,,,,,,,0,1,0,,
03:40.0,220,220000,00:03:40:00,04:13.6,253.58,253580,00:04:13:14,00:33.6,33.58,33580,00:00:33:14,1,1,,,,,,,,,,,,0,1,0,,Mild
